x,y
0.0,7.993428306022466
0.40816326530612246,7.947961193575998
0.8163265306122449,10.74435666803812
1.2244897959183674,13.719529100571153
1.6326530612244898,11.429652434226798
2.0408163265306123,12.654175065693476
2.4489795918367347,17.505364406524986
2.857142857142857,17.10629802973439
3.2653061224489797,15.856969595477034
3.673469387755102,19.10552825043724
4.081632653061225,18.31806257355875
4.4897959183673475,19.537928247961528
4.8979591836734695,22.177802094152476
5.3061224489795915,19.091806857623176
5.714285714285714,20.693021477831078
6.122448979591837,24.242771880293567
6.530612244897959,24.56617449402503
6.938775510204081,28.444821195802792
7.346938775510204,27.22476817548819
7.755102040816327,27.4406987197784
8.16326530612245,34.42109345621046
8.571428571428571,32.26273311331264
8.979591836734695,34.07383191957993
9.387755102040817,32.31376893369554
9.795918367346939,35.29898965299045
10.204081632653061,37.83409007737892
10.612244897959183,36.53474753903294
11.020408163265307,40.812620526487265
11.428571428571429,40.08443690587667
11.83673469387755,41.9268165820461
12.244897959183675,42.53128065309223
12.653061224489797,48.66374004248726
13.061224489795919,46.15667901991189
13.46938775510204,45.292741407394324
13.877551020408163,50.27774288543087
14.285714285714286,47.415455557200815
14.693877551020408,51.499359843070735
15.10204081632653,48.38678220122004
15.510204081632654,50.874240147101105
15.918367346938776,55.14882451255457
16.3265306122449,57.45652499672552
16.73469387755102,57.546818195033
17.142857142857142,58.19727486379495
17.551020408163264,59.05085383331121
17.95918367346939,57.92050703967332
18.367346938775512,60.66235239953712
18.775510204081634,62.40525307032533
19.183673469387756,66.6652648606011
19.591836734693878,66.46274678321855
20.0,63.47391968927453
